year,value,serie,source
1990,3101300778.56414,pib_usd,World Bank
1991,3135045584.08387,pib_usd,World Bank
1992,3356692505.18266,pib_usd,World Bank
1993,3199536465.23328,pib_usd,World Bank
1994,1895290637.09504,pib_usd,World Bank
1995,2379517975.28056,pib_usd,World Bank
1996,2586550595.41013,pib_usd,World Bank
1997,2447669101.95178,pib_usd,World Bank
1998,2804902367.14687,pib_usd,World Bank
1999,3389566712.66037,pib_usd,World Bank
2000,2968370087.59759,pib_usd,World Bank
2001,3190371080.94768,pib_usd,World Bank
2002,3622350062.96053,pib_usd,World Bank
2003,4740768142.67494,pib_usd,World Bank
2004,5451688537.60959,pib_usd,World Bank
2005,6146353173.34929,pib_usd,World Bank
2006,6547419820.38113,pib_usd,World Bank
2007,7625722836.76847,pib_usd,World Bank
2008,9451435490.11467,pib_usd,World Bank
2009,9450696873.34326,pib_usd,World Bank
2010,10109619740.6994,pib_usd,World Bank
2011,12080295977.5632,pib_usd,World Bank
2012,12561015156.5683,pib_usd,World Bank
2013,13444300485.8412,pib_usd,World Bank
2014,13943016076.7436,pib_usd,World Bank
2015,11832159315.6298,pib_usd,World Bank
2016,12833363045.3367,pib_usd,World Bank
2017,14106955615.3442,pib_usd,World Bank
2018,15890066221.2882,pib_usd,World Bank
2019,16032813503.3707,pib_usd,World Bank
2020,17725010532.5268,pib_usd,World Bank
2021,19697516284.3787,pib_usd,World Bank
2022,18622421394.6133,pib_usd,World Bank
2023,20112614449.2039,pib_usd,World Bank
2024,23124729853.0218,pib_usd,World Bank
1990,338.593759055128,pib_par_habitant,World Bank
1991,333.70605512636,pib_par_habitant,World Bank
1992,348.592443894547,pib_par_habitant,World Bank
1993,324.111576707435,pib_par_habitant,World Bank
1994,187.21142372606,pib_par_habitant,World Bank
1995,229.092294496817,pib_par_habitant,World Bank
1996,242.733171352672,pib_par_habitant,World Bank
1997,223.853958525611,pib_par_habitant,World Bank
1998,249.53173292493,pib_par_habitant,World Bank
1999,292.836958697313,pib_par_habitant,World Bank
2000,248.908526921752,pib_par_habitant,World Bank
2001,259.485223380436,pib_par_habitant,World Bank
2002,285.654087637533,pib_par_habitant,World Bank
2003,362.373899996953,pib_par_habitant,World Bank
2004,403.81283743461,pib_par_habitant,World Bank
2005,441.164148016012,pib_par_habitant,World Bank
2006,455.513655620024,pib_par_habitant,World Bank
2007,514.684451177238,pib_par_habitant,World Bank
2008,619.437533256264,pib_par_habitant,World Bank
2009,601.569520671859,pib_par_habitant,World Bank
2010,624.957252224766,pib_par_habitant,World Bank
2011,725.024767725475,pib_par_habitant,World Bank
2012,731.470138867833,pib_par_habitant,World Bank
2013,759.762065168498,pib_par_habitant,World Bank
2014,764.861675106225,pib_par_habitant,World Bank
2015,630.124750752312,pib_par_habitant,World Bank
2016,663.742364842886,pib_par_habitant,World Bank
2017,709.091535894695,pib_par_habitant,World Bank
2018,777.465618514048,pib_par_habitant,World Bank
2019,764.853077774946,pib_par_habitant,World Bank
2020,825.237038782475,pib_par_habitant,World Bank
2021,895.535288442991,pib_par_habitant,World Bank
2022,827.330843486661,pib_par_habitant,World Bank
2023,873.482589651003,pib_par_habitant,World Bank
2024,981.992649769081,pib_par_habitant,World Bank
1990,-0.602928477580988,croissance_pib,World Bank
1991,9.06998445877436,croissance_pib,World Bank
1992,0.232710761845951,croissance_pib,World Bank
1993,3.46138493945818,croissance_pib,World Bank
1994,1.31500727210265,croissance_pib,World Bank
1995,5.71637386269622,croissance_pib,World Bank
1996,11.014743869558,croissance_pib,World Bank
1997,6.31683473483768,croissance_pib,World Bank
1998,7.30771963496896,croissance_pib,World Bank
1999,7.39523780111931,croissance_pib,World Bank
2000,1.88847388906525,croissance_pib,World Bank
2001,6.61340574539679,croissance_pib,World Bank
2002,4.35296382988099,croissance_pib,World Bank
2003,7.80249388870359,croissance_pib,World Bank
2004,4.47845213670386,croissance_pib,World Bank
2005,8.66187322841225,croissance_pib,World Bank
2006,6.25316468817478,croissance_pib,World Bank
2007,4.11137901761516,croissance_pib,World Bank
2008,5.79999174105387,croissance_pib,World Bank
2009,2.96195085866692,croissance_pib,World Bank
2010,8.44628157707625,croissance_pib,World Bank
2011,6.62256261306693,croissance_pib,World Bank
2012,6.45267237953146,croissance_pib,World Bank
2013,5.79258484509867,croissance_pib,World Bank
2014,4.32684561452976,croissance_pib,World Bank
2015,3.9212287937935,croissance_pib,World Bank
2016,5.95797670754024,croissance_pib,World Bank
2017,6.20348941121868,croissance_pib,World Bank
2018,6.60456906812341,croissance_pib,World Bank
2019,5.88920497068135,croissance_pib,World Bank
2020,2.01077262406221,croissance_pib,World Bank
2021,6.94252492572348,croissance_pib,World Bank
2022,1.62673258211919,croissance_pib,World Bank
2023,3.00027415814125,croissance_pib,World Bank
2024,4.79980951667159,croissance_pib,World Bank
1990,-0.504303388918912,inflation_ipc,World Bank
1991,2.16260052713423,inflation_ipc,World Bank
1992,-1.99113580736894,inflation_ipc,World Bank
1993,0.553455723541917,inflation_ipc,World Bank
1994,25.1778762249962,inflation_ipc,World Bank
1995,7.45884497828324,inflation_ipc,World Bank
1996,6.09780439121741,inflation_ipc,World Bank
1997,2.31869062176683,inflation_ipc,World Bank
1998,5.08433344145324,inflation_ipc,World Bank
1999,-1.07261362759533,inflation_ipc,World Bank
2000,-0.304212168486802,inflation_ipc,World Bank
2001,5.00743290822373,inflation_ipc,World Bank
2002,2.17569480664608,inflation_ipc,World Bank
2003,2.03456574053815,inflation_ipc,World Bank
2004,-0.400228702115451,inflation_ipc,World Bank
2005,6.41504018369684,inflation_ipc,World Bank
2006,2.33310856372219,inflation_ipc,World Bank
2007,-0.230627306273049,inflation_ipc,World Bank
2008,10.6597978997424,inflation_ipc,World Bank
2009,2.60817666368314,inflation_ipc,World Bank
2010,-0.764230734676768,inflation_ipc,World Bank
2011,2.75976724854534,inflation_ipc,World Bank
2012,3.8181524025238,inflation_ipc,World Bank
2013,0.533738507090536,inflation_ipc,World Bank
2014,-0.258089517535291,inflation_ipc,World Bank
2015,0.724838981070516,inflation_ipc,World Bank
2016,0.441041448058809,inflation_ipc,World Bank
2017,1.48299897161325,inflation_ipc,World Bank
2018,1.95594302672532,inflation_ipc,World Bank
2019,-3.23338933983321,inflation_ipc,World Bank
2020,1.88470066518847,inflation_ipc,World Bank
2021,3.65326761825508,inflation_ipc,World Bank
2022,14.2902354303358,inflation_ipc,World Bank
2023,0.742910428668917,inflation_ipc,World Bank
2024,4.19081721344523,inflation_ipc,World Bank
1990,1.81001541960049,inflation_deflateur,World Bank
1991,-3.9677807475580402,inflation_deflateur,World Bank
1992,0.227059619996879,inflation_deflateur,World Bank
1993,-1.44183978328999,inflation_deflateur,World Bank
1994,14.6389618841227,inflation_deflateur,World Bank
1995,6.76956903796038,inflation_deflateur,World Bank
1996,0.348705151128442,inflation_deflateur,World Bank
1997,1.55619984983713,inflation_deflateur,World Bank
